"","year","month","day","time","latitude","longitude","k490","par","chlorophyll","reef","zone","depth","Date","season","parw","Iz"
"1","2003","02","02","12:00:00Z","16.437494","-88.06249",NA,17.048775,NA,"Silk Caye","Offshore",2.7432,2003-02-02,"summer",42.8947179,NA
"2","2003","02","03","12:00:00Z","16.437494","-88.06249",NA,46.228397,NA,"Silk Caye","Offshore",2.7432,2003-02-03,"summer",116.310646852,NA
"3","2003","02","04","12:00:00Z","16.437494","-88.06249",0.12944,46.22781,1.439529,"Silk Caye","Offshore",2.7432,2003-02-04,"summer",116.30916996,51.3492551624178
"4","2003","02","05","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-02-05,"summer",NA,NA
"5","2003","02","06","12:00:00Z","16.437494","-88.06249",0.0972,46.42567,0.881333,"Silk Caye","Offshore",2.7432,2003-02-06,"summer",116.80698572,63.2164024007641
"6","2003","02","07","12:00:00Z","16.437494","-88.06249",NA,46.34425,NA,"Silk Caye","Offshore",2.7432,2003-02-07,"summer",116.602133,NA
"7","2003","02","08","12:00:00Z","16.437494","-88.06249",NA,47.12575,NA,"Silk Caye","Offshore",2.7432,2003-02-08,"summer",118.568387,NA
"8","2003","02","09","12:00:00Z","16.437494","-88.06249",NA,47.07886,NA,"Silk Caye","Offshore",2.7432,2003-02-09,"summer",118.45041176,NA
"9","2003","02","10","12:00:00Z","16.437494","-88.06249",NA,46.889664,NA,"Silk Caye","Offshore",2.7432,2003-02-10,"summer",117.974394624,NA
"10","2003","02","11","12:00:00Z","16.437494","-88.06249",NA,31.52471,NA,"Silk Caye","Offshore",2.7432,2003-02-11,"summer",79.31617036,NA
"11","2003","02","12","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-02-12,"summer",NA,NA
"12","2003","02","13","12:00:00Z","16.437494","-88.06249",NA,44.242287,NA,"Silk Caye","Offshore",2.7432,2003-02-13,"summer",111.313594092,NA
"13","2003","02","14","12:00:00Z","16.437494","-88.06249",NA,48.426003,NA,"Silk Caye","Offshore",2.7432,2003-02-14,"summer",121.839823548,NA
"14","2003","02","15","12:00:00Z","16.437494","-88.06249",0.069067,48.382668,0.482056,"Silk Caye","Offshore",2.7432,2003-02-15,"summer",121.730792688,78.6929553364984
"15","2003","02","16","12:00:00Z","16.437494","-88.06249",NA,48.57733,NA,"Silk Caye","Offshore",2.7432,2003-02-16,"summer",122.22056228,NA
"16","2003","02","17","12:00:00Z","16.437494","-88.06249",0.09445,47.77818,0.838683,"Silk Caye","Offshore",2.7432,2003-02-17,"summer",120.20990088,66.1980198900433
"17","2003","02","18","12:00:00Z","16.437494","-88.06249",NA,4.934888,NA,"Silk Caye","Offshore",2.7432,2003-02-18,"summer",12.416178208,NA
"18","2003","02","19","12:00:00Z","16.437494","-88.06249",NA,42.897198,NA,"Silk Caye","Offshore",2.7432,2003-02-19,"summer",107.929350168,NA
"19","2003","02","20","12:00:00Z","16.437494","-88.06249",0.1494,49.726246,1.772965,"Silk Caye","Offshore",2.7432,2003-02-20,"summer",125.111234936,48.6925177119702
"20","2003","02","21","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-02-21,"summer",NA,NA
"21","2003","02","22","12:00:00Z","16.437494","-88.06249",NA,50.399296,NA,"Silk Caye","Offshore",2.7432,2003-02-22,"summer",126.804628736,NA
"22","2003","02","23","12:00:00Z","16.437494","-88.06249",NA,47.442497,NA,"Silk Caye","Offshore",2.7432,2003-02-23,"summer",119.365322452,NA
"23","2003","02","24","12:00:00Z","16.437494","-88.06249",NA,49.408253,NA,"Silk Caye","Offshore",2.7432,2003-02-24,"summer",124.311164548,NA
"24","2003","02","25","12:00:00Z","16.437494","-88.06249",0.1218,50.610767,1.28777,"Silk Caye","Offshore",2.7432,2003-02-25,"summer",127.336689772,58.9972536924112
"25","2003","02","26","12:00:00Z","16.437494","-88.06249",NA,49.754997,NA,"Silk Caye","Offshore",2.7432,2003-02-26,"summer",125.183572452,NA
"26","2003","02","27","12:00:00Z","16.437494","-88.06249",0.1454,51.381443,1.702377,"Silk Caye","Offshore",2.7432,2003-02-27,"summer",129.275710588,51.6007071826106
"27","2003","02","28","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-02-28,"summer",NA,NA
"28","2003","03","01","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-01,"summer",NA,NA
"29","2003","03","02","12:00:00Z","16.437494","-88.06249",NA,52.1056,NA,"Silk Caye","Offshore",2.7432,2003-03-02,"summer",131.0976896,NA
"30","2003","03","03","12:00:00Z","16.437494","-88.06249",NA,44.49533,NA,"Silk Caye","Offshore",2.7432,2003-03-03,"summer",111.95025028,NA
"31","2003","03","04","12:00:00Z","16.437494","-88.06249",0.108489,51.88178,1.075575,"Silk Caye","Offshore",2.7432,2003-03-04,"summer",130.53455848,65.7837277271994
"32","2003","03","05","12:00:00Z","16.437494","-88.06249",0.08805,51.1375,0.746494,"Silk Caye","Offshore",2.7432,2003-03-05,"summer",128.66195,73.7753654164803
"33","2003","03","06","12:00:00Z","16.437494","-88.06249",0.1478,52.30142,1.74291,"Silk Caye","Offshore",2.7432,2003-03-06,"summer",131.59037272,51.7343690753265
"34","2003","03","07","12:00:00Z","16.437494","-88.06249",NA,51.606796,NA,"Silk Caye","Offshore",2.7432,2003-03-07,"summer",129.842698736,NA
"35","2003","03","08","12:00:00Z","16.437494","-88.06249",0.1546,52.576115,1.862884,"Silk Caye","Offshore",2.7432,2003-03-08,"summer",132.28150534,49.819619752123
"36","2003","03","09","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-09,"summer",NA,NA
"37","2003","03","10","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-10,"summer",NA,NA
"38","2003","03","11","12:00:00Z","16.437494","-88.06249",NA,53.174667,NA,"Silk Caye","Offshore",2.7432,2003-03-11,"summer",133.787462172,NA
"39","2003","03","12","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-12,"summer",NA,NA
"40","2003","03","13","12:00:00Z","16.437494","-88.06249",NA,53.572002,NA,"Silk Caye","Offshore",2.7432,2003-03-13,"summer",134.787157032,NA
"41","2003","03","14","12:00:00Z","16.437494","-88.06249",NA,51.828003,NA,"Silk Caye","Offshore",2.7432,2003-03-14,"summer",130.399255548,NA
"42","2003","03","15","12:00:00Z","16.437494","-88.06249",NA,53.291107,NA,"Silk Caye","Offshore",2.7432,2003-03-15,"summer",134.080425212,NA
"43","2003","03","16","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-16,"summer",NA,NA
"44","2003","03","17","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-17,"summer",NA,NA
"45","2003","03","18","12:00:00Z","16.437494","-88.06249",NA,54.614662,NA,"Silk Caye","Offshore",2.7432,2003-03-18,"summer",137.410489592,NA
"46","2003","03","19","12:00:00Z","16.437494","-88.06249",NA,52.865173,NA,"Silk Caye","Offshore",2.7432,2003-03-19,"summer",133.008775268,NA
"47","2003","03","20","12:00:00Z","16.437494","-88.06249",0.1354,54.43175,1.523645,"Silk Caye","Offshore",2.7432,2003-03-20,"summer",136.950283,58.2282387482531
"48","2003","03","21","12:00:00Z","16.437494","-88.06249",NA,48.215557,NA,"Silk Caye","Offshore",2.7432,2003-03-21,"summer",121.310341412,NA
"49","2003","03","22","12:00:00Z","16.437494","-88.06249",NA,52.749992,NA,"Silk Caye","Offshore",2.7432,2003-03-22,"summer",132.718979872,NA
"50","2003","03","23","12:00:00Z","16.437494","-88.06249",NA,46.090996,NA,"Silk Caye","Offshore",2.7432,2003-03-23,"summer",115.964945936,NA
"51","2003","03","24","12:00:00Z","16.437494","-88.06249",NA,54.663063,NA,"Silk Caye","Offshore",2.7432,2003-03-24,"summer",137.532266508,NA
"52","2003","03","25","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-25,"summer",NA,NA
"53","2003","03","26","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-03-26,"summer",NA,NA
"54","2003","03","27","12:00:00Z","16.437494","-88.06249",NA,52.414997,NA,"Silk Caye","Offshore",2.7432,2003-03-27,"summer",131.876132452,NA
"55","2003","03","28","12:00:00Z","16.437494","-88.06249",NA,53.714,NA,"Silk Caye","Offshore",2.7432,2003-03-28,"summer",135.144424,NA
"56","2003","03","29","12:00:00Z","16.437494","-88.06249",NA,47.701817,NA,"Silk Caye","Offshore",2.7432,2003-03-29,"summer",120.017771572,NA
"57","2003","03","30","12:00:00Z","16.437494","-88.06249",NA,6.735552,NA,"Silk Caye","Offshore",2.7432,2003-03-30,"summer",16.946648832,NA
"58","2003","03","31","12:00:00Z","16.437494","-88.06249",NA,55.966423,NA,"Silk Caye","Offshore",2.7432,2003-03-31,"summer",140.811520268,NA
"59","2003","04","01","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-01,"summer",NA,NA
"60","2003","04","02","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-02,"summer",NA,NA
"61","2003","04","03","12:00:00Z","16.437494","-88.06249",NA,38.177498,NA,"Silk Caye","Offshore",2.7432,2003-04-03,"summer",96.054584968,NA
"62","2003","04","04","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-04,"summer",NA,NA
"63","2003","04","05","12:00:00Z","16.437494","-88.06249",0.0702,56.6274,0.495858,"Silk Caye","Offshore",2.7432,2003-04-05,"summer",142.4745384,91.4459800222422
"64","2003","04","06","12:00:00Z","16.437494","-88.06249",NA,55.21378,NA,"Silk Caye","Offshore",2.7432,2003-04-06,"summer",138.91787048,NA
"65","2003","04","07","12:00:00Z","16.437494","-88.06249",NA,56.93,NA,"Silk Caye","Offshore",2.7432,2003-04-07,"summer",143.23588,NA
"66","2003","04","08","12:00:00Z","16.437494","-88.06249",NA,51.093002,NA,"Silk Caye","Offshore",2.7432,2003-04-08,"summer",128.549993032,NA
"67","2003","04","09","12:00:00Z","16.437494","-88.06249",NA,56.723816,NA,"Silk Caye","Offshore",2.7432,2003-04-09,"summer",142.717121056,NA
"68","2003","04","10","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-10,"summer",NA,NA
"69","2003","04","11","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-11,"summer",NA,NA
"70","2003","04","12","12:00:00Z","16.437494","-88.06249",NA,18.329998,NA,"Silk Caye","Offshore",2.7432,2003-04-12,"summer",46.118274968,NA
"71","2003","04","13","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-13,"summer",NA,NA
"72","2003","04","14","12:00:00Z","16.437494","-88.06249",NA,50.747334,NA,"Silk Caye","Offshore",2.7432,2003-04-14,"summer",127.680292344,NA
"73","2003","04","15","12:00:00Z","16.437494","-88.06249",NA,55.91345,NA,"Silk Caye","Offshore",2.7432,2003-04-15,"summer",140.6782402,NA
"74","2003","04","16","12:00:00Z","16.437494","-88.06249",NA,57.834473,NA,"Silk Caye","Offshore",2.7432,2003-04-16,"summer",145.511534068,NA
"75","2003","04","17","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-17,"summer",NA,NA
"76","2003","04","18","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-18,"summer",NA,NA
"77","2003","04","19","12:00:00Z","16.437494","-88.06249",NA,57.2048,NA,"Silk Caye","Offshore",2.7432,2003-04-19,"summer",143.9272768,NA
"78","2003","04","20","12:00:00Z","16.437494","-88.06249",NA,NA,NA,"Silk Caye","Offshore",2.7432,2003-04-20,"summer",NA,NA
"79","2003","04","21","12:00:00Z","16.437494","-88.06249",NA,57.308594,NA,"Silk Caye","Offshore",2.7432,2003-04-21,"summer",144.188422504,NA
"80","2003","04","22","12:00:00Z","16.437494","-88.06249",NA,54.027714,NA,"Silk Caye","Offshore",2.7432,2003-04-22,"summer",135.933728424,NA
